IP Address,Performance Ratio,Actual Score,Seconds Since Last Updated
154.12.230.224,0.6875,11,-0.012743
154.12.240.59,0.6875,11,-0.00515
154.12.241.128,1.125,18,-0.004107
154.12.253.219,,,-0.014295
154.12.254.251,,,-0.505011
154.12.255.11,,,-0.503535
154.38.162.90,1.5625,25,-0.500705
154.38.166.118,,,0.002415
154.53.32.125,2.5,40,-0.512525
154.53.32.146,2.25,36,-0.510339
154.53.32.48,,,-0.507946
154.53.60.47,1.0625,17,-0.006523
154.53.61.222,1.625,26,-0.007018
154.53.63.109,1.6875,27,-0.483553
154.53.63.115,2.1875,35,-0.486391
157.173.193.198,1.1875,19,-0.341036
157.173.193.199,1.1875,19,-0.002401
157.173.193.202,1.875,30,-0.506008
31.220.99.61,,,-0.00932
66.94.114.198,2.1875,35,-0.483395
66.94.125.53,1.5,24,-0.014418
89.117.78.90,0.625,10,-0.512897
89.117.78.92,1.1875,19,-0.509728
89.117.79.24,1.8125,29,0.003782
Min,0.625,10.0,-0.512897
Average,1.4965277777777777,23.944444444444443,-0.2680352916666667
Median,1.53125,24.5,-0.4122155
Max,2.5,40.0,0.003782
